title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
Deep In A Dream|||||740|1938|""||||||
Deep Night|||||836|1929|""||||||
Deep Purple|Peter De-Rose||||295|1934|"2_72"||y||y||
Deep River|||||651|Trad.|""||||||
Del Sasser|Sam Jones||||||""||||y||
Delores|||||||"1_109"||||||
Deluge|Wayne Shorter||||||"1_116"||||y||
Desafinado|Antonio-Carlos Jobim||||713|1959|"1_112"|1||031,074,098,|y||
Desert Air|||||||"1_114"||||||
Destinee|||||||""|||||y|
Detour Ahead|Herb Ellis||||572|1948|"1"|2|||y||
Devil May Care|T.P. Kirk||||||""||||y||
Dewey Square|Charlie Parker||||||"2_73"||||y||
Dexterity|Charlie Parker||||859|1947|"1_117"||||y||
Diane|||||||"2_74"||||||
Dicty Glide, The|||||||""|||||y|
Dienda|Kenny Kirkland||||||""||||y||
Dig|Miles Davis||||||"3_64"||||y||
Dikeno Sinto|||||||""|||||y|
Diminishing|||||||""|||||y|
Dinah|Harry Akst||||134|1925|"2"||||y||
Dindi|Antonio-Carlos Jobim||||694|1965|"2_75"|1|||y||
Dinette|||||||""|||||y|
Ding-dong The Witch Is Dead|||||||""|||||y|
Disguise, The Sphinx, The|||||||"1_4"||||||
Dizzy Atmosphere|||||881|1944|"1"||||||
Django|John Lewis||||211|1954|"1_120"|2|||y||
Django's Castle|||||||""|||||y|
Django's Tiger|||||||""|||||y|
Djangology|||||||""|||||y|
Djoyeux Anniversaire|||||||""|||||y|
Do Nothin' Till You Hear From Me|||||93|1943|"2_77"|1|||||
Do Nothing Til You Hear From Me|Duke Ellington||||||""||||y||
Do You Know What It Means|Louis Alter||||||""||||y||
Do You Know What It Means To Miss New Orleans|||||687|1946|"2_80"|||i,|||
Doggin' Around|||||998|1938|""||||||
Doin' The Pig|||||||"1_118"||||||
Dolores|Wayne Shorter||||||""||||y||
Dolphin Dance|Herbie Hancock||||742|1966|"1_122"|3||011,|y||
